Date,Name,Year,Letterboxd URI,Rating
2025-02-24,Oppenheimer,2023,https://boxd.it/wUow,4
2025-02-24,Inception,2010,https://boxd.it/1skk,5
2025-02-24,Insomnia,2002,https://boxd.it/2aB0,3
2025-02-25,The Truman Show,1998,https://boxd.it/18U8,3.5
2025-02-25,The Pale Blue Eye,2022,https://boxd.it/u8tk,4
2025-03-10,Mickey 17,2025,https://boxd.it/q1Dk,3.5
2025-03-20,Get Out,2017,https://boxd.it/eOCm,4
2025-03-21,No Country for Old Men,2007,https://boxd.it/21ew,4.5
2025-03-22,The Shining,1980,https://boxd.it/29Nu,5
2025-03-23,The Silence of the Lambs,1991,https://boxd.it/2aHW,4
2025-03-28,The Sixth Sense,1999,https://boxd.it/29Js,4
2025-04-03,The Departed,2006,https://boxd.it/28MA,4.5
2025-04-05,The Shawshank Redemption,1994,https://boxd.it/2aHi,4
2025-04-05,Midsommar,2019,https://boxd.it/jhxe,3
2025-04-17,Mystic River,2003,https://boxd.it/2aAG,4.5
2025-04-17,Prisoners,2013,https://boxd.it/4E5i,5
2025-04-20,The Prestige,2006,https://boxd.it/293w,3.5
2025-04-26,The Game,1997,https://boxd.it/26vC,3.5
2025-04-29,A Clockwork Orange,1971,https://boxd.it/2aVE,4
2025-05-01,Sinners,2025,https://boxd.it/KQMM,4
2025-05-05,The Brutalist,2024,https://boxd.it/k4BO,3.5
2025-05-12,Memento,2000,https://boxd.it/2bcK,5
2025-05-13,Ice Merchants,2022,https://boxd.it/Arx8,5
2025-05-28,Inglourious Basterds,2009,https://boxd.it/1JzG,4
2025-05-29,Nope,2022,https://boxd.it/sDCe,4
2025-05-29,Us,2019,https://boxd.it/gnV6,4.5
2025-06-15,Plane,2023,https://boxd.it/o0lq,2.5
2025-06-22,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,3.5
2025-06-25,Se7en,1995,https://boxd.it/29zs,4.5
2025-07-09,Housefull 2,2012,https://boxd.it/2ZZM,0.5
2025-07-10,F1,2025,https://boxd.it/yjVM,3.5
2025-07-11,The Machinist,2004,https://boxd.it/248c,3.5
2025-07-18,Fantastic Four: Rise of the Silver Surfer,2007,https://boxd.it/27Ii,2.5
2025-07-19,The Empire Strikes Back,1980,https://boxd.it/27Vw,3.5
2025-07-19,GoodFellas,1990,https://boxd.it/29FA,3.5
2025-07-19,The Hangover,2009,https://boxd.it/1GjK,3.5
2025-07-20,The Hustle,2019,https://boxd.it/g1ju,2
2025-07-21,The Lighthouse,2019,https://boxd.it/icFU,5
2025-07-23,Killers of the Flower Moon,2023,https://boxd.it/gHp0,4
2025-07-26,Slumdog Millionaire,2008,https://boxd.it/1S3E,3.5
2025-07-27,Hacksaw Ridge,2016,https://boxd.it/azew,4
2025-07-29,Zodiac,2007,https://boxd.it/27MO,3.5
2025-07-30,Shutter Island,2010,https://boxd.it/1U82,3.5
2025-07-31,War Dogs,2016,https://boxd.it/9SlO,3
